lookback,hold,floor,dip_tolerance,testable,mean,t,p,n,g,mean_ret,median_ret,mean_spy_ret,win_rate_vs_spy,win_rate_absolute,ret_ci_low,ret_ci_high,bhar_ci_low,bhar_ci_high,holm_p,bh_p,discovered_rule
6mo,12mo,very_bullish_only,1pct_dip,True,0.03516536624485837,0.2602049758353356,0.7754,19,19,0.20969477281320328,0.03654514113667906,0.17452940656834492,0.3157894736842105,0.7368421052631579,0.00460202594073433,0.4366351824029034,-0.16609575910344582,0.2596529807678393,1.0,0.7754,False
6mo,18mo,very_bullish_only,0pct_strict,False,0.430062296209895,,,9,9,0.6971207445088087,0.2261774545860178,0.26705844829891356,0.4444444444444444,0.8888888888888888,,,,,,,False
6mo,18mo,very_bullish_only,1pct_dip,False,0.2348909107273355,,,12,12,0.518071548953841,0.1742650661381694,0.28318063822650547,0.25,0.6666666666666666,,,,,,,False
12mo,6mo,very_bullish_only,0pct_strict,False,0.03429473380596676,,,2,2,0.07796140231463139,0.07796140231463139,0.04366666850866463,0.5,0.5,,,,,,,False
12mo,6mo,very_bullish_only,1pct_dip,False,0.020692779761330382,,,2,2,0.06001554102428269,0.06001554102428269,0.03932276126295231,0.5,0.5,,,,,,,False
12mo,12mo,very_bullish_only,0pct_strict,False,0.4692709495343288,,,1,1,0.6608448965088534,0.6608448965088534,0.19157394697452457,1.0,1.0,,,,,,,False
12mo,12mo,very_bullish_only,1pct_dip,False,0.48331798388760827,,,1,1,0.6266430125690652,0.6266430125690652,0.1433250286814569,1.0,1.0,,,,,,,False
12mo,18mo,very_bullish_only,0pct_strict,False,0.3052842999435119,,,1,1,0.5746338542810845,0.5746338542810845,0.26934955433757257,1.0,1.0,,,,,,,False
12mo,18mo,very_bullish_only,1pct_dip,False,0.3282466155509136,,,1,1,0.5665644236175926,0.5665644236175926,0.23831780806667902,1.0,1.0,,,,,,,False
18mo,6mo,bullish_plus,0pct_strict,False,0.04291672220350677,,,5,5,0.12637876871736506,0.1575187558322444,0.08346204651385829,0.8,1.0,,,,,,,False
18mo,6mo,bullish_plus,1pct_dip,False,0.025163379269248103,,,9,9,0.11226649480557994,0.12478356500452659,0.08710311553633183,0.7777777777777778,0.8888888888888888,,,,,,,False
18mo,6mo,very_bullish_only,0pct_strict,False,,,,0,0,,,,,,,,,,,,False
18mo,6mo,very_bullish_only,1pct_dip,False,,,,0,0,,,,,,,,,,,,False
18mo,12mo,bullish_plus,0pct_strict,False,0.01889657395179667,,,2,2,0.17832174456201522,0.17832174456201522,0.15942517061021855,1.0,1.0,,,,,,,False
18mo,12mo,bullish_plus,1pct_dip,False,-0.008097379507280022,,,5,5,0.15445074612951512,0.18246791692515418,0.16254812563679516,0.8,1.0,,,,,,,False
18mo,12mo,very_bullish_only,0pct_strict,False,,,,0,0,,,,,,,,,,,,False
18mo,12mo,very_bullish_only,1pct_dip,False,,,,0,0,,,,,,,,,,,,False
18mo,18mo,bullish_plus,0pct_strict,False,,,,0,0,,,,,,,,,,,,False
18mo,18mo,bullish_plus,1pct_dip,False,,,,0,0,,,,,,,,,,,,False
18mo,18mo,very_bullish_only,0pct_strict,False,,,,0,0,,,,,,,,,,,,False
18mo,18mo,very_bullish_only,1pct_dip,False,,,,0,0,,,,,,,,,,,,False
